,Tweet,label
0,fadli zon menteri negeri nonaktif ahok gubernur daerah khusus ibukota,0
1,luka aksi rangka penjara ahok ahok gagal pilih kepala daerah,0
2,sylvi gurbernur keras perempuan bukti foto bareng debat final pilih kepala daerah jakarta,0
3,ahmad dhani puas debat pilih kepala daerah jalan bekas ungkap,0
4,waspada kartu tanda duduk palsu kawal pilih kepala daerah,0
5,agam bahas pilih kepala daerah tingkat iman batas pilih kepala daerah,0
6,maksud nyata amin kriminalisasi ahok hati mulut,0
7,ahok integrasi transportasi publik sistem single ticketing infotribun,0
8,ahok lawan korupsi kota bangun infrastruktur coba baik trobosan works well,0
9,awas curang pilih kepala daerah agus sylvi pakai aplikasi,0
10,jokowi ahok kalem lengkap,0
11,bos makan istana undang makan istana gebang tapi,0
12,cuti habis ahok gubernur daerah khusus ibukota amat ada republika online,0
13,debat pilih kepala daerah daerah khusus ibukota jakarta gelar jumat malam,0
14,demonstran fpd malteng desak badan awas pilih henti tahap pilih kepala daerah malu,0
15,desak henti ahok ngeles cuti pilih kepala daerah kampanye habis menteri negeri ragu ragu,0
16,gila gara pilih kepala daerah tokoh tampak watak asli,0
17,gontor izin santri pulang kampung coblos pilih kepala daerah daerah khusus ibukota republika online,0
18,gubernur non aktif daerah khusus ibukota jakarta basuki tjahaja purnama ahok rencana rombak struktur jabat pegawai,0
19,hebat imam masjid istiqlal kalimat ahok nista agama sebar,0
20,beli telur pakai pilih timbang pdh telur telur busuk,0
21,ahok kait siap debat pilih gubernur besok,0
22,pesan ahok pers nasional kitapastipernah,0
23,istighotsah ahok catut logo nu,0
24,bicara pilih ahok djarot rasa banjir sih,0
25,iya deh hoaks,0
26,lacur belia jual orang tua pantura suap nasi,0
27,sebar hoaks tahu akun twitter nya lo,0
28,empok murni nya tolong mas,0
29,bidara beli mangga pulang nya liwat slip lupa ingat tetangga pilih agus sylvi harilagimilihahy agusbersamaulama,0
30,serius selip hibur ude ude ude pilkadadki debat final pilih kepala daerah jakarta,0
31,sylvie sukses blunder bikin pasang calon drop elektabilitasnya fitnah spin salah pilih kader debat final pilih kepala daerah jakarta,0
32,ahok mari lomba program debat final pilih kepala daerah jakarta,0
33,debat final pilih kepala daerah jakarta aduh kecewa pasang calon,0
34,debat final pilih kepala daerah jakarta pilih nomor sektor informal maju mas agus empok sylvi,0
35,ahok pilih baik jakarta,0
36,debat final pilih kepala daerah jakarta bu silvy curhat marah ahok hehe,0
37,mantap ahok debat final pilih kepala daerah jakarta,0
38,ahok gagah kayak gatot kaca debat final pilih kepala daerah jakarta,0
39,telaaaakkk nomer satuuuu nghahahaha debat final pilih kepala daerah jakarta,0
40,lomba adu program debat final pilih kepala daerah jakarta skaksilvi,0
41,debat final pilih kepala daerah jakarta dengar program janji tau pas jalan malas sih,0
42,debat calon gubernur daerah khusus ibukota februari segmen mantap ahok sekak sylviana murni ndebatfinalpilkadajkt,0
43,silvy paksa debat final pilih kepala daerah jakarta,0
44,tanggal pas pilih kepala daerah pilih ah,0
45,pribadi prefer muslim kapabilitas lihat kondisi ahok pilih pulang realistis maju daerah khusus ibukota,0
46,dukung mas anies anti ahok,0
47,spanduk tolak salat bela nista agama muncul kalibata,0
48,debat final pilih kepala daerah jakarta telak banget anjir tertawa,0
49,ayo lomba program fitnah debat final pilih kepala daerah jakarta,0
50,antuk yeay debat final pilih kepala daerah jakarta,0
51,aduh bilang program pasang calon kasihan kasihan kasihan debat final pilih kepala daerah jakarta,0
52,tuntut adil nista agama puluh jawara betawi ikut aksi jilid ih,0
53,keras nih ahok debat final pilih kepala daerah jakarta,0
54,pasang calon anies sandiaga uno februari jakarta indonesia raya oke oke,0
55,sesuai nama ronde final ndebatfinalpilkadajkt,0
56,menteri negeri pusing emoh keluar fatwa status gubernur nista agama,0
57,tolong adu program,0
58,genderang perang kencang debat final pilih kepala daerah jakarta,0
59,empok sylvi emosi ude debat final pilih kepala daerah jakarta,0
60,some people beda kasar debat final pilih kepala daerah jakarta,0
61,beliau pimpin hebat indonesia bangga,0
62,bu silvy foto ahok hihi debat final pilih kepala daerah jakarta,0
63,debat final pilih kepala daerah jakarta serang deh,0
64,baca biar dingin suasana debat final pilih kepala daerah jakarta,0
65,ayo lomba program fitnah doang debat final pilih kepala daerah jakarta badjapastimenang,0
66,pokok ahok bicara aduuuuuuh selesai debat final pilih kepala daerah jakarta,0
67,senjata makan tuan debat final pilih kepala daerah jakarta devat final daerah khusus ibukota,0
68,ahok keras verbal koruptor elus debat final pilih kepala daerah jakarta,0
69,program serang serang karakter ahay ude debat final pilih kepala daerah jakarta,0
70,kait jakarta ramah anak tanggap,0
71,oke oke anies sandi atas urbanisasi lapang kerja debat final pilih kepala daerah jakarta,0
72,suporter kampung pasang calon bicara debat final pilih kepala daerah jakarta,0
73,seru nih debat final pilih kepala daerah jakarta,0
74,debat final pilih kepala daerah jakarta menang menang tonjok,0
75,debat malam pilih jatuh pasang calon debat final pilih kepala daerah jakarta debatpilkadadki,0
76,wkwk pilih anies sandi debat final pilih kepala daerah jakarta,0
77,fitnah kejam bunuh debat final pilih kepala daerah jakarta,0
78,mari debatsehat coba pakai datasesat debat final pilih kepala daerah jakarta debatfinaldikompastv,0
79,apa berani ahok bongkar mafia anggar tonggak anggar dapat belanja daerah kredibel akuntabel,0
80,wujud nasional is me dagang hebat,0
81,dosen asli,0
82,kampanye deklarasi anti sara gue pikir no mending no,0
83,debat final pilih kepala daerah jakarta matang empok silvy bombardir ahok cerdas ahok,0
84,debat final pilih kepala daerah jakarta mohon tenang,0
85,no nih bicara program mulu ya bhan ya serang lawan cape deh devat final daerah khusus ibukota debat final pilih kepala daerah jakarta,0
86,cinta ahok pokok debat final pilih kepala daerah jakarta,0
87,debat final pilih kepala daerah jakarta foto ahok lo,0
88,mas agus aku malam rambut bagus debat final pilih kepala daerah jakarta,0
89,ahok janji berani tutup hibur malam jual narkoba,0
90,agus sylvi sisip bahasa jawa debat,0
91,ahok perhati sandang disabilitas jauuuh kandidat janji nobarahokdjarot badjapastijuara,0
92,ahok keren debat final pilih kepala daerah jakarta,0
93,ya tim ahok sudut final kali iya,0
94,nih fakta bunyi badjapastimenang debat final pilih kepala daerah jakarta,0
95,meme cctv debat final pilih kepala daerah jakarta debatpilkadadki devat final daerah khusus ibukota,0
96,nyinyir tingkat nasional debat final pilih kepala daerah jakarta,0
97,drama banget debat final pilih kepala daerah jakarta,0
98,judul debat serang pasang calon debat final pilih kepala daerah jakarta,0
99,serang ya debat final pilih kepala daerah jakarta,0
100,debat tengkar beda tipis debat final pilih kepala daerah jakarta,0
101,orang bilang maki maki orang debat final pilih kepala daerah jakarta,0
102,perempuan beda kaum perempuan debatfinalpilkadajk,0
103,mantap oke oke anies sandi atas urbanisasi lapang kerja,0
104,seru nih ungkit keras verbal laku manusia debat final pilih kepala daerah jakarta,0
105,perempuan perempuan debat final pilih kepala daerah jakarta,0
106,debat final pilih kepala daerah jakarta pasang calon kategori keras debat,0
107,maaf biar malam memposting ujar benci malam xoxo debat final pilih kepala daerah jakarta,0
108,moga allah menang anies sandi,0
109,debat final pilih kepala daerah jakarta non muslim coblos ahok muslim coblos djarot,0
110,debat final pilih kepala daerah jakarta pimpin cipta suasana damai tentram adu domba hasut,0
111,presiden kepala polisi republik indonesia oke oke debat final pilih kepala daerah jakarta,0
112,banget pihak media debat final pilih kepala daerah jakarta,0
113,hatikecil bagus nih ilustrasi debat final pilih kepala daerah jakarta,0
114,ahok keren,0
115,isi lini twitter pilih kepala daerah bosan,0
116,mohon tenang mohon tenang debat final pilih kepala daerah jakarta,0
117,ah ulang jawab beda debat final pilih kepala daerah jakarta,0
118,asa deh om audio ya debat final pilih kepala daerah jakarta,0
119,tinggal pinggir kali tanah jual pinggir jalan,0
120,sehat warga daerah khusus ibukota jakartaberlari baru bangun sejahtera warga debat final pilih kepala daerah jakarta,0
121,putus pacar program oke oke solusi nya debat final pilih kepala daerah jakarta,0
122,libat paham bidang duduk pecah solusi pimpin cerdas debat final pilih kepala daerah jakarta,0
123,laki laki alami keras verbal kali diri marah istri ayo aku,0
124,gera gera ala periksadata debat final pilih kepala daerah jakarta,0
125,mayoritas warga jakarta pimpin gubernur iya debat final pilih kepala daerah jakarta,0
126,pasang calon serang pasang calon nih debat final pilih kepala daerah jakarta,0
127,upaya anies sandi dukung perempuan laku usaha tengah debat final pilih kepala daerah jakarta,0
128,salah indikator tingkat kualitas hidup warga jakarta senyum djarot malam,0
129,tonton wajib tunggu habis debat final pilih kepala daerah jakarta,0
130,ahok sandang disabilitas debat final pilih kepala daerah jakarta,0
131,jeda ahok djarot sapa ganjar pranowo panggung,0
132,sayang hyung citra wkwk,0
133,jual kue balai kota ahok tau sih sakit langsung urus rumah sakit citra,0
134,biar jajan juta,0
135,bio gue ganti astagfirullah rusak citra cewek cantik,0
