,Unnamed: 0,Date,User,Tweet,Label,Unnamed: 4,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1
0,0,2018-12-26 05:17:49+00:00,megawati_laban,Megawati di Tolol !,1,,,,,,,
1,1,2018-12-30 06:37:16+00:00,Ireine_Megawati,Megawati mak banteng yang suka bonekain presiden negeri ini,1,,,,,,,
2,2,2018-12-30 04:38:51+00:00,Ireine_Megawati,Megawati contoh pemimpin partai yang otoriter terhadap bawahannya,1,,,,,,,
3,3,2018-12-30 12:44:03+00:00,arrogantrif,Ibu saya sangat membenci Megawati !!,1,,,,,,,
4,4,2018-12-30 10:17:11+00:00,mawar_megawati,Saya suka ibu megawati,0,,,,,,,
5,8,2018-12-30 10:18:31+00:00,mawar_megawati,"Saya suka video @YouTube https://t.co/K6oLVnRF9A Thank U, Next (BLINDFOLD PATTYCAKE) - ft. Alyson Stoner, Madilyn Bailey, Sam Tsui,",0,,,,,,,
6,20,2018-12-29 10:16:59+00:00,MartinkusJohn,@Huda1927_ After that Megawati banned journalists.,0,,,,,,,
7,21,2018-12-21 11:49:23+00:00,Suanggi_Hitam,"Meskipun Video Lama Tapi Saya Suka melihat Video Ini..Pak Presiden goyang dan Ibu Megawati juga gembira..
Apalagi Ada Ibu menteri SM.. Aha..
Ibu menteri yang selalu k..mantap..
Putar kekiri Nona manis...
Manise..... �
#01JokowiLagi https://t.co/SKKc2fz3mR",0,,,,,,,
8,22,2018-12-25 00:08:37+00:00,MerdekaBrojoe,"Bencana dari zaman orba sd sekarang

Soeharto (32thn) 96 kali bencana

Gusdur (1thn 8bln) 3 kali bencana

Megawati (3thn ) 14 kali bencana

SBY (10thn) 76 kali bencana

Jokowi (4thn)  332 kali bencana

Sumber :tempo https://t.co/WMvFIcHse3",0,,,,,,,
9,23,2018-12-19 04:09:03+00:00,mpuanon,"Menurut pengalaman Anda, Indonesia memburuk di era siapa? Megawati atau Jokowi?

#ORSON https://t.co/HqOscPQg0T",0,,,,,,,
10,24,2018-12-27 06:10:17+00:00,akai_clan,"KH. MIFTAH FARIED
PIMP. PONPES MIFTAHUL KHOER TASIKMALAYA

Mendukung PDIP berarti Ibu/Bapak = mendukung kejayaan Megawati dan Keluarga = mendukung Manusia Penista Agama

#2019GantiPresiden https://t.co/3rz4k3C7Tn",1,,,,,,,
11,25,2018-12-29 22:53:08+00:00,justALEX1902,"Ada 2 mantan presiden terlibat langsung mendukung masing2 capres yg berbeda pada pilpres 2019.

Menurut anda, mana yg mampu membawa Indonesia ke era keemasan?

Like ➡️ Megawati bersama Jokowi

RT    ➡️ SBY bersama Prabowo",0,,,,,,,
12,26,2018-12-30 09:03:54+00:00,AdhieMassardi,"KAMI (bersama PP Muhammadiyah, sejumlah ormas Islam, aktivis pergerakan Rizal Ramli, Kwik KianGie, dll serta Ornop) berhasil likuidasi BP Migas dan UU (liberalisasi) Migas yg di-ttd Pres Megawati itu lewat Mahkamah Konstitusi, 2012. https://t.co/ZQIWQxXB4n",0,,,,,,,
13,27,2018-12-21 02:14:55+00:00,TribunWow,"Sempat Berpikir Megawati adalah Presiden Terburuk, @Ferdinand_Haean : Ternyata Saya Salah https://t.co/qvVXQfNZkf",0,,,,,,,
14,28,2018-12-26 14:36:03+00:00,lapianjack,Presiden ke 5 Ibu Megawati Soekarnoputri #Pancasila https://t.co/T4a8nelChO,0,,,,,,,
15,29,2018-12-21 04:51:58+00:00,glrhn,Berharap Megawati dan SBY bisa meniru langkah bijak Obama ini. https://t.co/mVXTD0gMhH,0,,,,,,,
