,Unnamed: 0,Unnamed: 0.1,Tweet,label
0,0,0.0,megawati tolol,1.0
1,1,1.0,megawati mak banteng suka bonekain presiden negeri,1.0
2,2,2.0,megawati contoh pimpin partai otoriter bawah,1.0
3,3,3.0,benci megawati,1.0
4,4,4.0,suka megawati,0.0
5,5,5.0,suka video terima kasih next blindfold pattycake ft alyson stoner madilyn bailey tsui,0.0
6,6,6.0,after that megawati banned journalists,0.0
7,7,7.0,video suka video presiden goyang megawati gembira menteri aha menteri k mantap putar kiri nona manis manise jokowilagi,0.0
8,8,8.0,bencana zaman orde sekolah dasar soeharto kali bencana gus dur kali bencana megawati kali bencana susilo bambang yudhoyono kali bencana jokowi kali bencana sumber tempo,0.0
9,9,9.0,alam indonesia buruk era megawati jokowi orson,0.0
10,10,10.0,kh miftah faried pimp pondok pesantren miftahul khoer tasikmalaya dukung partai demokrasi indonesia juang dukung jaya megawati keluarga dukung manusia nista agama ganti presiden,1.0
11,11,11.0,mantan presiden libat langsung dukung calon presiden beda pilih presiden bawa indonesia era emas like megawati jokowi susilo bambang yudhoyono prabowo,0.0
12,12,12.0,pp muhammadiyah organisasi masyarakat islam aktivis gera rizal ramli kwik kiangie ornop hasil likuidasi migas undang undang liberalisasi migas tanda pres megawati mahkamah konstitusi,0.0
13,13,13.0,pikir megawati presiden buruk haean salah,0.0
14,14,14.0,presiden megawati soekarno putri pancasila,0.0
15,15,15.0,harap megawati susilo bambang yudhoyono tiru langkah bijak obama,0.0
16,16,16.0,presiden ri mahir fasih baca al alquran presiden gus dur beliau kiai kuasa periode jatuh ganti wakil megawati baca al alquran,0.0
17,17,17.0,budi waseso tunjuk susilo bambang yudhoyono megawati nasihat pramuka politis,0.0
18,18,18.0,jadi bencana zaman orde si soeharto kali gus dur kali megawati kali susilo bambang yudhoyono kali jokowi kali sumber tempo hidup,0.0
19,19,19.0,koreksi badan selenggara jamin sosial lahir undang undang no sistem jamin sosial nasional tanda tangan megawati ditandatangani susilo bambang yudhoyono undang undang no badan selenggara jamin sosial regulasi salam dok,0.0
20,20,20.0,tasyakur posko menang deklarasi dukung h joko widodo amp kh ruf amin bambanggunawan bogorhebat urangbogorajangbogor voteforbg partai demokrasi indonesia juang calon legislatif dprri jabar daerah pilih bogor indonesia jokowi marufamin megawati partai demokrasi indonesia juang baguna tentara nasional indonesia instagram,0.0
21,21,21.0,bantu korban tsunami selat sunda megawati kirim tim baguna,0.0
22,22,22.0,hadir presiden ri megawati soekarno putri menteri perempuan kabinet kerja perempuan hebat hebat iriana bilang era globalisasi digitalisasi negeri butuh sosok perempuan perempuan karakter tegar kuat bidang,0.0
23,23,23.0,indosat jual megawati beli jokowi yahhhh melhat dungu biada,1.0
24,24,24.0,benci jokowi jokowi partai demokrasi indonesia juang menang partai demokrasi indonesia juang anggap wakil kuat anti islam nasionalis kristen anggap partai komunis indonesia megawati potensi presiden,0.0
25,25,25.0,megawati calon presiden keok susilo bambang yudhoyono gih buru megawati iya,0.0
