,Unnamed: 0,Tweet,label
0,0,km up date berita jokowi terus proyek alias mangkrak usia perintah umur jaga,0
1,1,jerawat oh jerawat sungguh keparat hilang tumbuh hilang jidat tumbuh pantat,0
2,2,bahasa susah sulli bahasa cina,0
3,3,setan,1
4,4,ganyang partai komunis indonesia uniform resource locator gedung jakarta uniform resource locator uniform resource locator,1
5,5,nalar goblok lulus sih koreksi bijak perintah omong deh akun ajar omong akun sontoloyo,1
6,6,benar sinyal cuk minggu sinyal kayak bangkai busuk,1
7,7,jamban,0
8,8,pakai dana bank asing bank badan usaha milik negara dana utang perintah saham fi plus rio tinta tambah doang divestasi akal an,0
9,9,lamun jokowi presiden angelus eta bandara paham tau tolol pelihara,1
10,10,wakil gubernur tingkah laku pakai kayak anak jabat perintah stres kali nih orang,1
11,11,sabtu pagi masyarakat adat badui lanjut jalan kantor gubernur banten kawasan pusat perintah provinsi banten kpb curug kota serang sebabaduy,0
12,12,baris banci kamera anak zaman now xf xf x x,0
13,13,bikin reklamasi kunjung duit cukong junjung setop eh bilang sipit songong,1
14,14,mbak sylviana please sehat debat final pilih kepala daerah jakarta juang selesai,1
15,15,cunnnn malaysia bolot habis fuhhh,1
16,16,spirit mata bibir tipis kayak silit bacot jual kerja becus daerah khusus ibukota amburadul keparat,1
17,17,caci maki juta juta lengser jokowi coba salah jokowi,1
18,18,sih heran antek antek partai komunis indonesia muncul rintik rintik hujan,1
19,19,guna twitter dukung hak lgbt kaca kaca congor harap jaga,1
20,20,sinting banget nih orang uniform resource locator,1
21,21,haha anggota dewan wakil rakyat palsu kasihan bubar komisi berantas korupsi status wtp ayo pilih palsu,1
22,22,sok mentwit cewek takut mbak kunti,0
23,23,bikin cacat roh bicara bilang sesal tinggal orang kayak harga,0
24,24,ulama sejuk bangsa,0
25,25,saking mundur orang kayak jokowi presiden mundur nyata betapa orang bodoh negeri,1
26,26,budek,1
27,27,komunis partai komunis indonesia mau umat islam ribut senang perintah anti islam gaya adu domba main,1
28,28,cukur bulu memek nih,0
29,29,perempuan indonesia ber burka cadar harap musnah indonesia,1
30,30,perangkat lurah tolak berita hoaks sukses pilih kepala daerah dami kota diri,0
31,31,rezim oknum polisi republik indonesia arogan rakyat lemah hukum tumpul tajam,0
32,32,warga badui selesai ingat tradisi seba pendopo perintah kabupaten lebak lanjut temu gubernur banten wahidin halim sabtu sebabaduy,0
33,33,bijak kembali barang konsumen barang rusak cacat hitung tanggal beli haus mini quiz hazid ncc,0
34,34,mantan anggota komisi viii jazuli juwaini pindah komisi ih tengah ketua fraksi partai adil sejahtera dewan wakil rakyat,0
35,35,babi anjing mampus kalah jatuh miskin deh bekas sah,1
36,36,antek susilo bambang yudhoyono otak paruh,1
37,37,ramai kayak silit borang j ulang si gendut ampun,0
38,38,ya i stalked haha i suka stalk orang bodoh nak tengok bodoh,0
39,39,agama ideologi ganti agama lahir gua batu lembah silikon bas teknologi salah agama fokus bab teknologi humanisme lanjut cita liberal mengg,0
40,40,partai adil sejahtera khawatir jokowi tancap gas pilih presiden partai adil sejahtera khawatir uniform resource locator bicara doang makan,1
41,41,sedih kepala polisi republik indonesia sih takut banget dahhh duduk,1
42,42,hamster makan hidup hidup bayi cacat aneh dunia,0
43,43,tau sih peka gara gara shooky buram warna warni video haha bicara orang sarap v xf xf x x xf xf x x xf xf x x,0
44,44,baginda rasulullah dunia hias hias wanita salihah hadis riwayat muslim,0
45,45,daftar agama asli nusantara percaya islam katolik kristen protestan buddha hindu kong hu,0
46,46,profil manusia lahir sperma tukar kaum bani onta bani kampret,1
47,47,gue terang bom percaya suara hilang ya puasa hijrah,0
48,48,bajing presiden,1
49,49,kecewa on silvy malu fitnah rasa ahok panas sekak mat debat final pilih kepala daerah jakarta,1
50,50,umat orang hormat orang tua sayang anak mulia alim ulama ahmad thabrani hakim,0
51,51,salah pilih sial salah lucu sial lucu ganti presiden ganti presiden prabowoforpresiden prabowoforpresiden prabowoforpresiden ganti presiden gantipre,1
52,52,gempar moeldoko amuk tantang prabowo hadap presiden jokowi berita baru,0
53,53,sore guys warga badui selesai ingat tradisi seba pendopo perintah kabupaten lebak lanjut temu gubernur banten wahidin halim sabtu sebabaduy,0
54,54,kelumit siap lemah binasa komisi berantas korupsi hasil imbas lengser jokowi ganti pimpin pro korupsi,1
55,55,perspektif syariat islam paham hukum lgbt perspektif islam perhati jelas xe x x jelas satu lgbt lesbi gay bisexual transgender,0
56,56,awkarin makan buaya iya iya,0
57,57,wow jilat hina habib syafaat bonggg cucu baginda nabi hina hina,1
58,58,usir orang orang buddha kristen indonesia bakar rumah rumah orang orang kristen buddha,1
59,59,allah benci orang gendut bismillah was salat was salam xe x xala rasulullah amma ba xe x xdu nada dalil cela orang gemuk makan imran bin uniform resource locator,0
60,60,muslim cyber army sumbu pendek wahabi bumi datar nyinyir anti islam uniform resource locator,1
61,61,monas gila hebat,0
62,62,usir cina harga,1
63,63,selip foto sertifikat tanah jokowi sindir demokrat gerindra,0
64,64,hadir plt gubernur jawa doktorandes h heru sudjatmoko sih plt gubernur jawa musyawarah kerja wilayah musyawarah kerja wilayah urus wilayah nahdlatul ulama jawa nahdlatul ulama jawa musykerwilnujateng musykerwilpwnujateng,0
65,65,itu pasu nasi bungkus,0
